date,value
2010-01-01,0.203239
2010-01-12,0.198612
2010-01-13,0.198349
2010-01-14,0.200182
2010-01-15,0.19873
2010-01-16,0.199664
2010-01-19,0.199975
2010-01-20,0.19953
2010-01-21,0.200683
2010-01-22,0.20112
2010-01-23,0.201162
2010-01-26,0.203342
2010-01-27,0.204787
2010-01-28,0.204469
2010-01-29,0.204879
2010-01-30,0.205686
2010-02-02,0.205424
2010-02-03,0.20396
2010-02-04,0.202007
2010-02-05,0.202952
2010-02-06,0.206099
2010-02-09,0.206125
2010-02-10,0.205025
2010-02-11,0.20409
2010-02-12,0.203695
2010-02-13,0.203918
2010-02-16,0.204084
2010-02-17,0.203326
2010-02-18,0.20276
2010-02-19,0.203816
2010-02-20,0.204026
2010-02-25,0.203869
2010-02-26,0.203791
2010-02-27,0.203874
2010-02-28,0.203281
2010-03-02,0.20326
2010-03-03,0.203488
2010-03-04,0.202321
2010-03-05,0.202469
2010-03-06,0.202687
2010-03-10,0.202044
2010-03-11,0.201805
2010-03-12,0.200615
2010-03-13,0.199814
2010-03-16,0.199438
2010-03-17,0.20009
2010-03-18,0.198597
2010-03-19,0.19873
2010-03-20,0.199092
2010-03-23,0.199598
2010-03-24,0.200495
2010-03-25,0.201214
2010-03-26,0.201887
2010-03-27,0.200968
2010-03-30,0.201639
2010-03-31,0.199686
2010-04-01,0.200691
2010-04-02,0.200166
2010-04-03,0.198812
2010-04-06,0.198895
2010-04-07,0.199071
2010-04-08,0.199387
2010-04-09,0.200275
2010-04-10,0.199777
2010-04-13,0.197205
2010-04-14,0.197883
2010-04-15,0.198066
2010-04-16,0.19736
2010-04-17,0.198174
2010-04-20,0.199283
2010-04-21,0.198624
2010-04-22,0.198625
2010-04-23,0.198696
2010-04-24,0.199893
2010-04-27,0.198602
2010-04-28,0.198486
2010-04-29,0.200403
2010-04-30,0.199656
2010-05-01,0.199042
2010-05-05,0.199988
2010-05-06,0.202243
2010-05-07,0.206243
2010-05-08,0.208868
2010-05-12,0.206959
2010-05-13,0.205965
2010-05-14,0.203855
2010-05-15,0.20522
2010-05-18,0.20919
2010-05-19,0.207288
